Date,Open,High,Low,Close,Adj Close,Volume
2024-10-25,180.0,181.42,178.3,179.1,179.1,3972800
2024-10-24,181.9,182.21,179.63,179.74,179.74,4366800
2024-10-23,179.7,184.98,179.62,181.69,181.69,9788600
2024-10-22,184.5,185.0,175.75,176.66,176.66,15636200
2024-10-21,192.91,194.39,192.02,194.23,194.23,4728800
2024-10-18,193.1,193.44,191.14,192.61,192.61,3075900
2024-10-17,194.09,194.8,192.2,192.62,192.62,2633300
2024-10-16,190.5,192.22,189.92,192.18,192.18,2912800
2024-10-15,193.85,194.33,189.76,190.57,190.57,3824300
2024-10-14,191.98,193.93,191.66,192.63,192.63,3132900
2024-10-11,189.41,191.77,189.06,191.16,191.16,2983900
2024-10-10,188.15,189.75,187.39,188.12,188.12,2300900
2024-10-09,186.63,189.42,186.5,189.28,189.28,2312600
2024-10-08,187.62,189.88,186.56,187.47,187.47,3627200
2024-10-07,185.94,187.23,184.8,185.96,185.96,2514200
2024-10-04,186.58,187.16,184.86,187.08,187.08,3978300
2024-10-03,186.5,186.71,183.7,183.89,183.89,3999500
2024-10-02,185.57,188.2,184.73,186.44,186.44,2879800
2024-10-01,187.49,188.22,184.92,186.3,186.3,3794000
2024-09-30,185.08,188.71,183.09,188.58,188.58,5628400
2024-09-27,184.17,186.19,183.13,185.38,185.38,4452800
2024-09-26,189.4,189.55,184.53,184.59,184.59,4781500
2024-09-25,189.83,190.88,188.2,189.33,189.05,3214800
2024-09-24,188.67,189.8,187.0,189.66,189.38,3648900
2024-09-23,187.81,189.78,187.4,188.67,188.39,3972500
2024-09-20,185.0,187.84,184.32,187.43,187.15,9895700
2024-09-19,187.65,187.99,184.28,186.16,185.88,5021500
2024-09-18,181.2,185.77,180.43,183.55,183.28,5686500
2024-09-17,181.51,182.43,178.99,180.33,180.06,5936900
2024-09-16,178.72,181.52,176.26,181.44,181.17,6844600
2024-09-13,169.41,179.32,169.21,178.28,178.02,7360800
2024-09-12,166.51,170.97,166.23,169.7,169.45,5150100
2024-09-11,166.24,166.73,162.23,166.35,166.1,4258000
2024-09-10,167.45,167.73,164.25,166.98,166.73,3473200
2024-09-09,163.49,166.38,162.91,165.35,165.11,3716000
2024-09-06,164.51,166.04,160.59,161.23,160.99,3954900
2024-09-05,164.78,166.0,162.51,163.85,163.61,3144200
2024-09-04,163.5,166.62,163.4,166.36,166.11,4112400
2024-09-03,174.19,174.75,163.6,164.21,163.97,6099600
2024-08-30,173.96,174.82,171.77,174.62,174.36,5295600
2024-08-29,172.62,175.97,172.49,173.58,173.32,4262500
2024-08-28,171.2,173.17,170.29,171.87,171.62,4578700
2024-08-27,170.7,171.5,169.6,170.99,170.74,3206000
2024-08-26,170.54,171.93,169.58,171.22,170.97,3707300
2024-08-23,170.0,171.38,168.85,171.22,170.97,4058000
2024-08-22,171.74,171.98,168.77,169.68,169.43,2996600
2024-08-21,170.1,172.19,169.85,171.2,170.95,4102900
2024-08-20,170.91,170.91,169.19,169.99,169.74,2573900
2024-08-19,169.61,171.0,168.02,170.93,170.68,4506000
2024-08-16,170.05,170.33,168.86,169.42,169.17,3305600
2024-08-15,168.75,170.75,168.22,169.94,169.69,4162500
2024-08-14,168.5,169.18,165.62,167.95,167.7,4456000
2024-08-13,167.76,168.63,166.25,167.96,167.71,2942400
2024-08-12,167.63,168.78,164.62,166.87,166.62,3173700
2024-08-09,165.45,167.88,164.57,167.13,166.88,2770100
2024-08-08,164.48,166.33,163.56,165.61,165.37,3842700
2024-08-07,164.42,166.27,161.57,162.13,161.89,4307500
2024-08-06,159.93,165.45,159.76,162.27,162.03,5056700
2024-08-05,152.49,159.9,150.2,158.36,158.13,7064800
2024-08-02,165.57,167.43,158.36,160.28,160.04,8210700
2024-08-01,170.75,174.7,168.22,169.75,169.5,6112900
2024-07-31,170.87,171.75,167.96,170.2,169.95,5568800
2024-07-30,170.48,174.73,167.27,167.48,167.23,5329500
2024-07-29,171.25,172.73,168.4,169.87,169.62,4886600
2024-07-26,167.25,172.62,166.11,169.81,169.56,7297700
2024-07-25,163.3,168.2,161.92,164.67,164.43,8791500
2024-07-24,171.5,172.87,162.05,162.3,162.06,7335200
2024-07-23,166.0,177.2,164.62,172.0,171.75,16428000
2024-07-22,159.97,162.94,159.77,162.76,162.52,6350500
2024-07-19,159.66,160.44,157.62,159.13,158.89,5459800
2024-07-18,157.37,160.44,156.42,158.79,158.56,5274800
2024-07-17,161.65,161.95,156.51,156.66,156.43,6041200
2024-07-16,159.88,163.87,159.65,162.85,162.61,6500700
2024-07-15,160.6,160.75,158.6,159.56,159.32,5383300
2024-07-12,161.88,162.3,158.8,159.01,158.77,5983400
2024-07-11,165.19,165.68,161.79,161.92,161.68,4553800
2024-07-10,163.15,165.99,162.54,165.7,165.18,3904600
2024-07-09,163.98,165.58,163.03,163.13,162.61,3829900
2024-07-08,160.8,163.78,160.65,163.53,163.01,3453300
2024-07-05,163.24,163.24,159.66,160.5,159.99,4668300
2024-07-03,161.88,164.49,161.54,163.0,162.48,2577300
2024-07-02,158.82,162.94,158.25,161.45,160.94,5247300
2024-07-01,160.67,161.4,156.05,158.97,158.47,4435100
2024-06-28,160.26,161.62,157.9,158.97,158.47,8641200
2024-06-27,160.8,161.85,159.6,160.5,159.99,3339700
2024-06-26,158.57,161.02,157.52,160.64,160.13,3998000
2024-06-25,159.58,163.65,158.42,159.73,159.22,6842500
2024-06-24,164.1,164.76,159.2,160.54,160.03,5519000
2024-06-21,164.5,164.92,161.3,164.24,163.72,17196600
2024-06-20,164.97,166.3,163.05,165.0,164.48,4957200
2024-06-18,163.4,165.19,162.36,164.97,164.45,5105300
2024-06-17,156.14,167.5,155.45,163.23,162.71,9564800
2024-06-14,154.22,156.6,153.22,155.88,155.39,6247400
2024-06-13,160.59,160.63,154.18,155.69,155.2,8080900
2024-06-12,161.26,162.94,159.18,161.05,160.54,5790700
2024-06-11,162.03,162.26,159.61,160.36,159.85,5106400
2024-06-10,162.0,163.9,161.56,162.84,162.32,4385900
2024-06-07,160.7,163.8,160.1,161.92,161.41,3341800
2024-06-06,162.3,163.17,159.76,160.62,160.11,3867300
2024-06-05,161.83,162.94,160.52,162.55,162.04,4279900
